PID,Supervisor,Category,Title,No of Students,Skill/Knowledge,Language,Description
6,Andrew Wilson,General,Serious game for efficient home energy management,1,Game development / programming,C#,To develop an evaluate a 2 / 2.5d game to highlight and teach about energy saving in the home
7,Andrew Wilson,General,Language Understanding (LUIS) approaches for Mindfullness,1,"ML, cognitive services","C#, python",To develop and evaluate a speech based app to help with the psychological approach to mindfullness
8,Andrew Wilson,General,Text analytics for analysis of patient forums,1,"ML, cognitive services","C#, python",Sentiment analysis of patient forums 
9,Andrew Wilson,General,Immersive reader solution for young people?s understanding of dementia,1,"ML, cognitive services","c#,python",To develop and evaluate an educational resource for young people to understand what is happening in family members with dementia
10,Andrew Wilson,General,Video indexing of eSports channels,1,"ML, cognitive services","c#,python",Data capture from eSports spectators.
16,Besher Alhalabi,General,Predicting English Premier League match results using Machine Learning,1,"research, machine learning, classification",Python,"This project aims to develop machine learning models to predict EPL results. In this project, you need to work with one of the EPL datasets that could be found on Kaggle and deal with the following tasks: data wrangling, data exploration, feature selection, model training and optimisation and evaluation."
17,Besher Alhalabi,General,"Design, AI-Driven chatbots for better customer services",1,"research, machine learning, NLU","Python, dialogflow, azure bot service","The projects aim to build an AI chatbot to automate customer service, the project will utilise NLP/ULP and cutting-edge technologies to design the required bot. During the project, you need to perform some of the following tasks: design chat flows, model training and model evaluation."
18,Besher Alhalabi,General,Find & Identify plants diseases using AI,1,"research, computer vision, deep learning","Tensorflow, Python","In this project, you need to build AI model to find and classify diseases. Leaves pictures need to be used for detecting the diseases. In this project, you need to find a relevant dataset on Kaggle or any other repository, and utilise deep learning models to achieve the required. This project involves the following: image pre-processing, model training and optimisation, model evaluation"
19,Besher Alhalabi,General,Breast cancer detection & classification through AI,1,"research, computer vision, deep learning","Tensorflow, Python","Breast cancer is one of the most common causes of death among women worldwide. Early detection helps in reducing the number of early deaths. In this project, you need to develop a deep learnining models to identify breast cancer. There are a few puplic datasets that could be used for training purposes, and you should expected the following tasks: data exploration, image pre-processing, model training and evaluation "
51,Iain Rice,General,Dashboards for Patient Data Visualisation,1,"UX Design, Programming",Python,Visualising data is easy. Visualising data well is hard. Displaying multiple streams of information to a diverse audience accounting for incomplete and erroneous data requires a bespoke dashboard design. This project will create a Plotly Dashboard for a complex patient dataset to be used by clinical experts at Birmingham Children's Hospital.
52,Iain Rice,General,Graph Databases for Patient Mapping,2,"Databases, Data Mining, Programming",Python,Graph Databases contrast to traditional SQL datastores by mapping relationships between nodes and data. This project will construct a graph database to a set large patient dataset to allow for simple interrogation and data modelling.
53,Iain Rice,General,Dimension Reduction for Big Datasets,2,"Data Mining, Programming",Python,"Big, high-dimensional data is complex and difficult to interpret as a human. This project will apply the techniques of Dimension Reduction to visualise complex datasets in a simple and intuitive way."
54,Iain Rice,General,Moneysafe: Speech recognition for fraud prevention,2,"Programming, AI",Python,The majority of fraud cases impacting the older generations in the UK rely on conning the elderly into reading out their bank card details. This project will create a Python app that could be used to identify key phrases such as 'long card number' or the name of a bank. This could then be implemented to cut the call and prevent fraud taking place.
55,Iain Rice,General,ML Benchmarking,2,"Programming, AI",Python,"In order to evaluate the effectiveness of new and developing machine learning algorithms their results must be tested against a range of benchmarks. This project will collate a range of datasets from the UCI and Google repositories and test a collection of standard ML algorithms including k-nearest neighbours, Support Vector Machines, Deep Learning algorithms etc. subsequent validation."
86,Quanbin Sun,General,?Project/Supervisor Allocation?: a platform to assist students choosing projects,1,"STRONG PROGRAMMING SKILLS, 
web development,  mobile development, database","C#, Java","This project is about to create an IT system to enable students communicate with supervisors and choose the topic of their final year project. At the moment, the centre publishes the project ideas and associated supervisors in a shared OneDrive spreadsheet. The spreadsheet is updated by the admin manually. 
You are designing/developing an IT system to make the whole process automatically.  This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of either web development or mobile development (C#, Java, etc.). You should also have the experience with database/cloud-based storage or be self-motivated and ready to learn."
