Project,Description,Supervisor,Skills,Lang
A Smart IoT Care Platform for Monitoring the Activities of Daily Living of Elderly People at their Homes,"The number of elderly people is rising rapidly and many of them prefer to stay at home living independently instead of staying at nursing homes. 
 
Smart Care solution (SCS) is a company whose work is focused on developing IoT platforms to support the well-being of elderly people at their homes.
 
SCS is working on the development of an application monitoring tool that use sensors technology to monitor the daily living activities of elderly people to improve their health and support their well-being.
 
The  selected candidate will work on the development of a smart IoT care application monitoring tool through participating in the:
?	Design and implementation of an IoT homecare monitoring platform that allows for sensors to be configured for data collection
?	Implement the back-end server for the monitoring system
?	Implement and deploy Internet of Things (IoT) solution at patients home for monitoring activities of daily living
?	Use the smart care platform to visualise and analyse collected data
?	Use semantic models to intelligently monitor activities and provide alerts",19,"Perseverance and motivation, Managing ambiguity ","Flutter + Dart, NoSQL DB"
Track the movements and activities of elderly people at home using a virtual animated character,"Using a gaming platform and sensors to create a virtual character that traces the movements and activates of an elderly person at home. The movements can be visualised either in real time or at a certain point in time during the day. Sensors data will capture the activates and store them in a NoSQL database. The stored sensors data can be queried to monitor and replay  certain activities, for example, how many time the person went to the toilet during a certain period in time.",19,,
Social Network Text Analysis Platform,"Gathering and managing data from diverse and heterogeneous datasets is central to many approaches to study systems behaviour. Users need to easily identify and gather the information they require using APIs and then integrate and analyse various data sets which can come from diverse information sources with a wide variety of formats and access methods.
 
The aim of this project is to develop a data integration platform that uses open source  text analysis libraries (e.g., spacy) for tokenising and categorising data from diverse social media. Extracted data will then be  analysed, linked, integrated and visualised through graph analysis techniques. The text analysis system will use  rich and flexible core data structures, which has the ability to bring together information from unstructured sources such twitter and news feeds and allow users to identify patterns (e.g., sentiment analysis through proving insight into positive or negative sentiments). ",20,,
Fitbit ,Develop a platform that uses Fitbit data to provide recommendations for elderly patients based on a determined patient?s profile. The project will use an existing platform to pull activities data using the Fitbit API and store this data into a NOSQL database. The extracted data will be the structured and modelled according to a patient profile to provide alerts and recommendation. ,20,,C++
Events Story Evolution Tracker,"Some news events go on for a number of years and are presented through different perspectives by different sources.

The objective of this project is to create a story evolution tracker to automatically identify sources and notify the user when new updates on the story are available.

The aim of this project is to develop a Story Evolution Tracker and  platform that uses open source  text analysis libraries (e.g., spacy) for tokenising and categorising data from diverse online media. Extracted data will then be  analysed, linked, integrated and composed into a timeline based story. The text analysis system will use  rich and flexible core data structures, which has the ability to bring together information from unstructured sources such as BBC, Sky news, Aljazeera news feeds and allow users to identify a timeline grouping of events.  ",20,,
Smart Irrigation Solution,"The aim of this project is to design and implement a realistic, robust and low cost irrigation system. The system will be composed of sensors that measures the levels of moist in the ground then triggers a pump that opens the correct valves to irrigate the plants. The application will also connect to a weather API to manage and more efficiently plans the irrigation settings. 

As part of this project a mobile App will be implemented to manage and control the application. Some background in electronics is required for this project.",21,,Java
Hand Gestures Recognition,"A project is about using neural network for recognising hand gestures. Build an automation tool that allows the user to control IoT devices using hand gestures. 
This project will use RTOS (Real Time Operating System)  libraries written in C Language to develop the application. Some background in electronics is required for this project.",22,,
Math Game,Interactive math game for children using a leap motion to help with and/or prevent math anxiety. ,23,,
Virtual Reality based drink driving simulator,"Summary: People do not always think about the consequences of their actions which can lead to unsafe and risky behaviours both to themselves and others. This project will look to develop an inexpensive virtual reality experience which simulates the affects that alcohol has on their sensory and motor coordination skills.     

Aim: To design, develop and evaluate a virtual reality simulator that will give the user insight into the simulated affects of alcohol consumption on their driving ability.  

Your role: See aims

Resources available: Unity or Unreal game engines are readily available. As this will be Google Cardboard based you will need this together with a compatible phone. 

Experience needed: Experience of C# / C++ programming as well as Unity / Unreal.  

Outcomes: The app will be available to the public in order to promote awareness of the risks associated with drink driving. ",2,,
Virtual Reality based road safety simulator,"Summary: Young newly qualified drivers do not always appreciate the dangers that face them when they take sole responsibility for driving. Distractions within the car for example not focussing on the driving or being distracted by fellow passengers can lead to higher probability of being involved in an accident.    

Aim: To design, develop and evaluate a virtual reality simulator that will give the user insight into the simulated effects of distraction on their driving ability.  

Your role: See aims

Resources available: Unity or Unreal game engines are readily available. As this will be Google Cardboard based you will need this together with a compatible phone. 

Experience needed: Experience of C# / C++ programming as well as Unity / Unreal.  

Outcomes: The app will be available to the public in order to promote awareness of the risks newly qualified drivers can experience. ",2,"Communication, Resilience",
Virtual reality for optometry training,"Summary: Optometrists are healthcare professionals who are responsible for providing primary vision care for example sight testing and correction as well as diagnosis, treatment, and management of changes to a person?s vision. This project will look at developing a simulated virtual reality training app that will teach the user the correct procedures used by optometrists for example in Visual Field Perimetry testing.  

Aim: To design, develop and evaluate a virtual reality simulator that teaches the user how to perform selected optometry examinations procedures

Your role: See aims

Resources available: Unity or Unreal game engines are readily available. As this will be Google Cardboard based you will need this together with a compatible phone. 

Experience needed: Experience of C# / C++ programming as well as Unity / Unreal.  

Outcomes: The app will be used as a proof of concept for engagement with the optometry profession. ",2,,
Secure remote telemonitoring and reporting system,"Summary: People living with long-term medical conditions require ongoing management of their conditions. Monitoring their progress and adherence to therapies is important for the clinical teams however this can be challenging outside of the clinical setting. This project will look to develop a secure and private cloud-based reporting dashboard for commonly used health outcome measures.  Patients will not be used in this project.

Aim: To design, develop and evaluate a secure remote telemonitoring and reporting system for people living with long term medical conditions for example rheumatoid arthritis.  

Your role: See aims

Resources available: Visual studio, databases and Microsoft Azure.

Experience needed: Experience of programming for cloud services, database development, reporting services and an interest in cybersecurity with respect to privacy, confidentiality and vulnerability testing.     

Outcomes: The app will be used as a proof of concept for engagement with clinical teams looking at secure and private clinical dashboards.  ",2,,
Work with Kainos,"1) Procedurally generated racing game 
It can be time consuming when developing games to produce enough levels so that players have variety and not get bored. One solution is to procedurally generate levels so there is an infinite number and players get a new experience each time they play. 
A racing game which is able to dynamically generate tracks for players to race on. It should be possible to set the ?difficulty? of generated tracks. Consider adding AI players and/or multiplayer support so players can compete with other racers. ",2,,
Work with Kainos,"3) Tabletop Gaming companion app

Games such as the table-top wargame ?Star Wars legion? or the collectible card game ?The Lord of The Rings LCG? requires players to manually go through hundreds of cards and pick manually which they want to use. They also need to know all restrictions the game has in terms of which cards can be picked with which and also their points costs. This is complicated and requires all players to understand every rule, as expected this often leads to mistakes being made and users unintentionally breaking the rules.
Develop an Android app or mobile friendly web application to be used as a list/deck builder for either ?Star Wars legion? or ?The Lord of The Rings LCG?. 
The app should be a database of all cards available and automatically apply all deck/list building restrictions. Decks/lists should then be able to be saved, shared, printed, upvoted/liked and searchable so other players can view them for inspiration.  


The app will drastically reduce set up time for both games and build a community among players to share ideas. It could also be used to track which decks/lists are successful competitively.",2,Team worker,
